+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|            Problem Name           | Model Creation Time  | Solver Creation + Transform Time |      Solve Time     | Overall Execution Time | Number of Branches |
+-----------------------------------+----------------------+----------------------------------+---------------------+------------------------+--------------------+
|  Problem 4/72  (Regin & Puget #1) |     Passes limit     |           Passes limit           |     Passes limit    |   20.617566874999966   |    Passes limit    |
|  Problem 6/76 (Regin & Puget #2)  |     Passes limit     |           Passes limit           |     Passes limit    |   20.593586708999965   |    Passes limit    |
|  Problem 10/93 (Regin & Puget #3) |     Passes limit     |           Passes limit           |     Passes limit    |   20.674433666999903   |    Passes limit    |
|           Problem 75-07           |  0.0379398330001095  |        1.178406207999842         |  0.6058539580001252 |   1.8236460839998472   |       11408        |
|           Problem 75-08           | 0.037130791999970825 |        1.1329851660000259        |  0.4650518749999719 |   1.636577750000015    |       11000        |
|           Problem 75-09           | 0.037149208000073486 |        1.2262899159998142        |  0.5703190000001541 |   1.835305167000115    |       11802        |
|           Problem 75-10           | 0.03966287499997634  |        1.2172336670000732        |  0.5210762500000783 |   1.779339250000021    |       11800        |
|           Problem 80-01           | 0.04000374999986889  |        1.2703816250000273        |  0.5322753749999265 |   1.8441775410001355   |       12200        |
|           Problem 80-02           | 0.03840249999984735  |        1.224088583999901         | 0.48633862499991665 |   1.7502042910000455   |       11800        |
|           Problem 80-03           | 0.04125487500004965  |        1.352535332999878         |  3.1214650829999755 |    4.51727612500008    |       13567        |
|           Problem 80-04           |     Passes limit     |           Passes limit           |     Passes limit    |   21.27713966599981    |    Passes limit    |
|           Problem 80-05           | 0.038116209000008894 |        1.2273626250000689        |  0.5036684590002096 |   1.7707703749999837   |       11800        |
|           Problem 80-06           | 0.039044749999902706 |        1.2238548330001322        |  0.6092845420000685 |   1.873497499999985    |       11812        |
|           Problem 80-07           | 0.03765441599989572  |        1.1723183750000317        |  0.6068324579998716 |   1.8183581670000422   |       11400        |
|           Problem 80-08           | 0.03781754200008436  |        1.182379333999961         |  0.5243710830000055 |   1.745894958000008    |       11405        |
|           Problem 80-09           | 0.039191625000057684 |        1.2222245000000385        |   0.61033687500003  |   1.8730969170001117   |       11805        |
|           Problem 80-10           | 0.039610875000107626 |        1.2218719999998484        |  0.8464001659999667 |   2.1093184170001678   |       11813        |
|           Problem 85-01           | 0.04060600000002523  |        1.2633737090000068        |  0.789979207999977  |   2.0953712079999605   |       12223        |
|           Problem 85-02           | 0.039808416999903784 |        1.2626771250002093        |  2.8696486670000922 |   4.173602500000015    |       12303        |
|           Problem 85-03           | 0.043133332999786944 |        1.4343485000001692        |  0.6842387079998389 |   2.163152957999955    |       13798        |
|           Problem 85-04           | 0.03940558400017835  |        1.2719277500000317        |  0.6805822909998369 |   1.9934585419998712   |       12213        |
|           Problem 85-05           | 0.047274375000142754 |        1.2632384169999114        |  1.3264475000000857 |   2.6382911250000234   |       12234        |
|           Problem 85-06           | 0.05607400000008056  |        1.3245090410000557        |  8.510655082999847  |   9.892696207999961    |       19688        |
|           Problem 85-07           | 0.04177045799997359  |        1.2724506249999195        |  1.2377827919999618 |   2.5534233749999657   |       12240        |
|           Problem 85-08           | 0.04009316599990598  |        1.264295790999995         |  13.917228042000033 |   15.223274541000137   |       18104        |
|           Problem 85-09           | 0.03891083400003481  |        1.181087208000008         |  3.0033670000000257 |   4.224761790999992    |       11643        |
|           Problem 85-10           | 0.04089937500020824  |        1.3092874999999822        |  0.5048160419999022 |   1.8563829580000402   |       12600        |
|           Problem 90-01           |     Passes limit     |           Passes limit           |     Passes limit    |   21.40538883399995    |    Passes limit    |
|           Problem 90-02           |     Passes limit     |           Passes limit           |     Passes limit    |   21.44144687500011    |    Passes limit    |
|           Problem 90-03           |     Passes limit     |           Passes limit           |     Passes limit    |   21.288504916999955   |    Passes limit    |
|           Problem 90-04           |     Passes limit     |           Passes limit           |     Passes limit    |   21.54210450000005    |    Passes limit    |
|           Problem 90-05           |     Passes limit     |           Passes limit           |     Passes limit    |   21.386578457999804   |    Passes limit    |
|           Problem 90-06           | 0.041175832999897466 |        1.3642654579998634        |  13.65780175000009  |   15.06477112499988    |       22434        |
|           Problem 90-07           |     Passes limit     |           Passes limit           |     Passes limit    |   21.414062791000106   |    Passes limit    |
|           Problem 90-08           |     Passes limit     |           Passes limit           |     Passes limit    |   21.40646820799998    |    Passes limit    |
|           Problem 90-09           |     Passes limit     |           Passes limit           |     Passes limit    |   21.451344374999962   |    Passes limit    |
|           Problem 90-10           | 0.03883387499990931  |        1.2662797089999458        |  7.892222541000137  |   9.198713250000083    |       18521        |
